text,category,is_emergency,style,subcategory
"У нас в квартире 15, подъезд 3 уже вторую неделю очень слабый напор горячей воды. Принимать душ невозможно. Прошу устранить неисправность.",water,0,formal,слабый напор
вот блин уже долго вода еле течет из крана на кухне подъезд первый квартира 32 когда уже почините?,water,0,voice,слабый напор
"Крн на кухне подтекает уже 3 дня. Ведро подставил, но капать не перестаёт. Кв 54, пд2",water,0,typo,капающий кран
"Что за безобразие! Уже месяц холодная вода еле течет! Вы вообще работаете или только деньги собираететь? Буду жаловаться в жилищную инспекцию! Кв. 12, подъезд 4.",water,0,emotional,слабый напор
вода ржавая из крана 3 подъезд,water,0,short,ржавая вода
"Добрый день! В квартире 35, подъезд 3, наблюдается слабый напор холодной воды уже третий день. Прошу разобраться с ситуацией.",water,0,formal,слабый напор ХВС
да здравствуйте тут кароче из крана горячей вода течет еле теплая уже неделю как с этим быть,water,0,voice,слабая температура ГВС
"В 4 подезде из крана льетсч ледяная вода вместо горячей, исправте пожалуйста",water,0,typo,холодная вода вместо ГВС
"Вы что, совсем охренели?! Три недели горячая вода чуть теплая! Я уже звонил сто раз, а толку ноль! Сейчас в ГЖИ на вас жаловаться пойду!!!",water,0,emotional,слабая температура ГВС
вода холодная из крана 2 подъезд,water,0,short,холодная вода вместо ГВС
"Срочно, 3 подъезд! Прорвало трубу ГВС на 5 этаже, кипяток льется по лестнице, люди не могут пройти! Вызовите аварийку!",water,1,emotional,прорыв трубы ГВС
да прорвало трубу в подвале вода льётся как из ведра уже весь пол затопило что делать,water,1,voice,прорыв трубы ХВС
"Кв 12, срочно! Засор унитаза, вода переливается через край, уже льется на пол! Нужен сантехник немедленно!",water,1,formal,засор канализации
всё заливает вода течёт из потолка в коридоре 2 подъезд скорее приезжайте,water,1,typo,протечка сверху
"канализация засорилась, стоки в подвале",water,1,short,засор канализации
"Добрый день! В третьем подъезде на первом этаже произошёл прорыв трубы горячего водоснабжения. Вода затапливает подъезд, перекрывайте подачу и срочно выезжайте!",water,1,formal,прорыв трубы
да здравствуйте тут кароче в подвале по гвс трубу прорвало кипяток бьет фонтаном заливает все вокруг быстрее приезжайте ато потоп будет,water,1,voice,прорыв трубы
Кв 24 3этаж нельза закрыть кран в ванной!вода льетса на пол помоите пажалуйста срочна,water,1,typo,срыв крана
"Что за безобразие!!! В пятом подъезде канализацию забило так, что стоки выливаются на лестничную площадку! Вонь ужасная, дети не могут пройти! Если не приедете в течение часа, пишу в ГЖИ и в прокуратуру!",water,1,emotional,засор канализации
кипяток из трубы подвал 1,water,1,short,прорыв трубы
"В подъезде №3 на втором этаже перегорела лампочка, уже неделю темно. Прошу заменить.",light,0,formal,перегорела лампочка
дайте уже свет в подъезде а то как в пещере ходим пятый день щас кто-нибудь упадет и все,light,0,voice,отсутствие освещения
